,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
106,FDX13,OUT019,2768.878903213244
107,FDM22,OUT049,1131.903618265911
108,FDJ03,OUT027,2222.5379020389264
109,FDU14,OUT018,3986.5939414430236
110,FDB33,OUT010,809.472231533003
111,FDP27,OUT046,2997.839051624711
112,FDO38,OUT010,-463.9823611187398
113,FDE28,OUT027,5002.7140998248
114,FDO27,OUT035,1167.9378901313096
115,DRL23,OUT027,3141.753131090552
116,FDS28,OUT046,958.9743752920194
117,FDX24,OUT013,1498.0925531120872
118,FDZ02,OUT035,1312.4444712798806
119,FDL46,OUT045,1737.6431567601383
120,FDS60,OUT027,4238.753459788952
121,NCO06,OUT017,171.9962105977872
122,FDO16,OUT035,1107.56927052784
123,FDC60,OUT049,1594.890580177256
124,FDA48,OUT018,3801.9302225953816
125,FDZ36,OUT027,4393.773631741165
126,FDK27,OUT045,1826.1076383791917
127,FDW23,OUT018,1062.5431478336095
128,FDM14,OUT018,2180.7248824086855
129,FDM14,OUT013,1493.4424175454428
130,FDW60,OUT018,3295.996137859389
131,FDE21,OUT013,1739.775154660215
132,NCM42,OUT035,1476.4611810754752
133,FDY59,OUT010,-30.6065856795679
134,DRI49,OUT049,1310.1222432738455
135,FDT28,OUT019,1161.2690787168117
136,FDQ22,OUT018,1060.8360455590491
137,FDR60,OUT049,1282.3929467734124
138,FDC50,OUT019,166.44805749772192
139,FDV24,OUT013,2102.1203984138606
140,DRF48,OUT010,1380.5110040026984
141,FDQ47,OUT046,603.1780882587797
142,DRN36,OUT049,1736.5292686664538
143,NCY06,OUT035,1724.6250071397697
144,FDE52,OUT035,1237.292848010051
145,NCB54,OUT045,1732.308922578413
146,NCF31,OUT035,2124.065539062057
147,FDJ08,OUT027,4336.83350105701
148,NCC07,OUT017,1570.0320970603796
149,NCD19,OUT027,2563.600890664961
150,FDL46,OUT049,1966.5150297619448
151,FDM20,OUT045,3672.292068924625
152,NCI06,OUT010,1092.6002404818419
153,DRM11,OUT035,3806.726608880729
154,NCH07,OUT018,2919.9246048034597
155,FDS23,OUT013,1763.5203465547365
156,FDO49,OUT018,1348.3153017179575
157,FDS35,OUT049,1136.257077279067
158,DRK39,OUT045,1230.713529168425
159,DRI39,OUT049,1068.8969880386005
160,FDV04,OUT017,2151.8001716279164
161,NCN14,OUT035,2543.8391342890372
162,FDH08,OUT013,3478.4861985078073
163,FDS20,OUT046,2876.394553304551
164,FDV40,OUT049,1599.486741344807
165,FDZ48,OUT010,94.80443064150057
166,FDS24,OUT027,2837.7828583216265
167,FDK44,OUT049,2823.6170564753265
168,FDS48,OUT045,1847.6409246452288
169,FDK26,OUT010,1496.9836100933512
170,FDD23,OUT045,2856.838863953504
171,NCH54,OUT017,2405.6049394031297
172,NCP14,OUT010,-41.7494410395945
173,FDM60,OUT010,-853.3771646395752
174,FDV24,OUT017,2165.723783778557
175,FDH08,OUT018,4100.690229464992
176,FDS12,OUT027,3334.191401374684
177,FDR39,OUT027,4180.819340101858
178,FDP12,OUT027,2020.2433961519373
179,DRF60,OUT027,5098.0677942032835
180,FDC09,OUT035,1407.6272045927415
181,FDF50,OUT018,3416.14911945434
182,FDG28,OUT035,3576.228784006854
183,NCE19,OUT017,740.411077274184
184,NCM53,OUT010,53.43482996448603
185,NCN18,OUT049,2091.0975465144093
186,FDF32,OUT035,2813.18597031631
187,FDF11,OUT013,3725.281708340358
188,DRI59,OUT049,3729.953179287639
189,NCG54,OUT035,2315.6575666174276
190,FDM44,OUT046,1682.2938785452461
191,FDT57,OUT018,4170.0734117980155
192,FDV24,OUT046,2338.7908451893463
193,FDI50,OUT019,2538.8506148029282
194,FDS09,OUT035,568.4419613949958
195,NCC31,OUT027,3969.561298245084
196,FDQ07,OUT019,2223.668487045199
197,FDC22,OUT017,2700.3622141232954
198,FDZ56,OUT046,2736.643719054479
199,FDZ40,OUT019,-273.13900063237236
200,FDS46,OUT027,3331.5571045344095
201,DRD24,OUT045,2136.505170649203
202,FDV45,OUT017,2827.567708491979
203,FDL26,OUT045,2288.4168166097165
204,FDA56,OUT018,2431.2587554658926
205,FDN27,OUT046,1948.9728341577907
206,FDM20,OUT049,4111.938778267371
207,FDO16,OUT017,1067.134227973667
208,FDL03,OUT035,2901.099488401197
209,FDE58,OUT046,1861.0891660379075
210,FDI02,OUT027,3134.1396795859723
211,NCC55,OUT019,-584.9972949409781
212,FDR03,OUT018,3944.9644985243217
213,FDB14,OUT017,1440.6985622627396
214,FDR45,OUT013,3640.6102426688494
215,NCN07,OUT017,1780.812699988078
216,FDM51,OUT019,604.1983639181991
217,FDT52,OUT027,5300.774326247785
218,FDL26,OUT046,2421.3927537163686
219,NCZ42,OUT046,3961.1297434177245
220,DRI47,OUT019,1188.2132852320715
221,FDW40,OUT013,2014.5962447625361
222,FDN34,OUT046,2570.9230208937533
223,FDS01,OUT035,2663.4151883033965
224,NCG55,OUT045,1560.1431369743816
225,FDC11,OUT035,964.1767826995878
226,FDX35,OUT018,4049.7249548739833
227,NCB06,OUT046,2510.6458560564492
228,FDR09,OUT019,2870.717218550135
229,FDC53,OUT017,1622.9636026778041
230,FDY45,OUT013,3326.5057901723494
231,FDA22,OUT010,795.7141331155226
232,FDE02,OUT035,1175.8388634510218
233,FDW21,OUT045,1652.8032517047307
234,FDV34,OUT046,1291.083175680817
235,FDS59,OUT049,1980.24549698694
236,NCW17,OUT017,1742.8875126743221
237,NCK54,OUT046,2043.6558495217446
238,FDG17,OUT019,2700.7458633302463
239,FDG35,OUT017,1608.781463123852
240,FDD08,OUT010,-789.0219192579798
241,NCO07,OUT017,3371.974378554647
242,FDJ10,OUT010,742.0696058091274
243,FDW36,OUT017,1658.818306003453
244,FDW21,OUT010,-1658.5245081706785
245,FDY19,OUT017,1868.6969606565606
246,DRE03,OUT013,556.5562119632177
247,NCC55,OUT049,795.6867293719105
248,FDH52,OUT010,-635.2830197419273
249,FDO09,OUT017,3797.4278834856705
250,FDU43,OUT045,3508.978057048167
251,FDX09,OUT010,988.2837113756593
252,FDH40,OUT019,164.33777592942667
253,FDW58,OUT017,1588.8661654222863
254,FDC47,OUT017,3224.353208773143
255,NCR41,OUT035,1318.2826714403216
256,DRG49,OUT035,3575.943758184004
257,FDC52,OUT027,4088.8480373105735
258,FDY13,OUT046,1242.369569122
259,FDY35,OUT013,593.2266851189547
260,FDI35,OUT017,2683.006056931565
261,NCU18,OUT049,2421.4239146086857
262,FDY33,OUT018,2923.1489376731397
263,FDC15,OUT027,3768.1970629041352
264,FDU01,OUT049,2517.8413919199065
265,NCU42,OUT046,2695.786750247982
266,NCV29,OUT018,3350.632135127039
267,NCY30,OUT017,2737.846615346461
268,FDQ46,OUT049,1876.629916934245
269,FDG58,OUT027,3830.2656836875085
270,FDK33,OUT017,3256.401075205058
271,NCD07,OUT045,1689.25176375909
272,NCX29,OUT027,3671.9618743015612
273,NCT42,OUT013,2160.1827219894158
274,DRN59,OUT035,407.59637351478426
275,FDI44,OUT035,882.3125636365436
276,FDA45,OUT049,2787.0440901479524
277,FDP31,OUT045,658.3346968429056
278,FDY01,OUT046,1751.441731291594
279,FDT09,OUT018,2765.033716592285
280,DRH03,OUT027,2594.844599759128
281,FDA36,OUT018,3435.588389572334
282,NCF31,OUT017,2278.5629047479347
283,FDG14,OUT049,2579.6224774917036
284,FDG28,OUT027,5287.889831193099
285,FDU14,OUT049,4142.386497524993
286,FDY47,OUT019,965.5648163975634
287,FDI56,OUT049,1611.480566629023
288,DRD01,OUT013,734.8529520210641
289,FDM22,OUT046,748.8723506473254
290,FDH33,OUT013,382.85532979624105
291,DRZ24,OUT013,1643.6705992240686
292,NCQ38,OUT046,1723.318463627179
293,FDO16,OUT027,2776.468654862694
294,FDU07,OUT027,3753.273324246087
295,NCB07,OUT013,2796.6503318134246
296,FDU48,OUT045,1967.6585495410998
297,NCM43,OUT045,2521.6742723331677
298,FDR31,OUT010,743.8806239507682
299,DRK49,OUT018,1153.610681540374
300,NCI30,OUT010,2055.890311975691
301,DRD60,OUT017,2560.939857358264
302,NCG19,OUT046,3574.9250310052507
303,FDH12,OUT035,1378.2937718932378
304,FDM32,OUT035,1243.5649268803713
305,FDM27,OUT035,2091.0882290446984
306,NCU53,OUT027,3779.7553006793364
307,NCQ18,OUT046,1512.2841826090548
308,FDS10,OUT013,2638.5077782480826
309,FDB33,OUT027,3952.8045684851922
310,FDI12,OUT013,1120.3430877906135
311,NCW42,OUT013,3268.546616389438
312,NCC06,OUT018,2504.9150774557506
313,FDW02,OUT017,1955.7511703188793
314,NCD43,OUT017,1668.2665842438764
315,FDM57,OUT018,1789.8350033621766
316,FDA58,OUT017,3312.903296664679
317,FDK56,OUT046,2824.4457556610937
318,FDP52,OUT045,3548.8305979062134
319,FDW20,OUT018,2477.7033952126426
320,FDS52,OUT049,1846.2251830492648
321,NCT29,OUT018,2327.056944776817
322,NCL54,OUT013,2465.0855746389707
323,FDC05,OUT045,2836.861448776769
324,FDF34,OUT035,2893.046283179927
325,FDP03,OUT027,3439.579114660185
326,FDD32,OUT010,-324.04427813171685
327,FDZ10,OUT045,1546.9207595566443
328,FDZ40,OUT035,629.630435985353
329,FDD51,OUT018,1045.2924460085744
330,NCY30,OUT019,1661.2766039047192
331,FDP58,OUT017,3022.1750741968917
332,FDV49,OUT017,3875.673705201597
333,FDY24,OUT019,-478.5631799655421
334,NCO55,OUT017,1538.5494254893797
335,FDR13,OUT017,1800.4405912364855
336,FDS51,OUT017,829.3645661155006
337,FDP26,OUT045,1405.5466252305832
338,NCB54,OUT027,3448.373850429264
339,FDF32,OUT017,2923.974927646159
340,FDN31,OUT018,3394.7290965790103
341,DRM48,OUT017,383.4850301100312
342,FDN20,OUT049,2908.3911155974006
343,DRL01,OUT046,3794.4699181611545
344,FDV56,OUT049,1948.5771972979699
345,DRH13,OUT027,3143.6002643117267
346,FDA03,OUT017,2209.7220721420776
347,FDF47,OUT027,4840.9600812308945
348,FDX32,OUT046,2317.343977467126
349,FDX57,OUT049,1765.5481128172955
350,NCA30,OUT045,2906.493980076872
351,FDO49,OUT013,693.4059643080211
352,FDL04,OUT019,364.10135356923206
353,DRM48,OUT035,260.47215287639665
354,FDR16,OUT013,3106.256677703813
355,NCC19,OUT018,3399.7616315181544
356,NCE42,OUT045,3748.0887266420505
357,FDY24,OUT017,708.5026466237789
358,FDH19,OUT049,2941.754543957392
359,FDJ46,OUT013,2512.103867979363
360,FDN45,OUT010,1607.6531837009834
361,FDY08,OUT035,1888.6739021603423
362,FDZ37,OUT035,1254.342181789278
363,NCT30,OUT045,643.5708343817287
364,DRY23,OUT018,1126.7691832152134
365,NCZ30,OUT018,2476.883009251564
366,FDC44,OUT018,2079.705151803099
367,FDB45,OUT035,1383.2997349695477
368,FDY04,OUT013,2399.045470541655
369,FDM27,OUT046,2827.3930128061506
370,FDZ43,OUT017,3492.6401311922273
371,FDT39,OUT019,1330.1899732059646
372,NCC06,OUT019,878.9338406366596
373,FDL15,OUT027,3856.981533237473
374,FDL57,OUT017,3766.657953694118
375,FDU08,OUT046,1585.765647698273
376,FDK40,OUT017,4155.140860882071
377,FDQ12,OUT010,2023.3354771453196
378,FDS48,OUT017,2366.5190480907418
379,FDP09,OUT045,3230.4132756048566
380,FDW21,OUT049,2083.0237681832186
381,FDY25,OUT035,2595.060721902339
382,DRE13,OUT017,1126.0917972346372
383,FDV43,OUT019,-550.2266533720637
384,FDD22,OUT045,1445.6835050370485
385,FDM46,OUT019,133.4181971423678
386,NCO30,OUT010,1356.7152459919675
387,FDM25,OUT046,2834.8605848906336
388,NCN41,OUT049,2131.577390070064
389,FDU24,OUT045,1121.0960016375136
390,FDZ50,OUT046,2958.838928484138
391,FDP45,OUT013,3788.0530927011187
392,NCM54,OUT045,1735.3171389128777
393,FDW10,OUT019,1557.3164092375387
394,FDP20,OUT017,1673.1865130537938
395,FDK32,OUT046,2474.8578000402445
396,FDN52,OUT049,1548.070076646917
397,FDM58,OUT045,1713.2447055964064
398,FDZ46,OUT027,3108.0906236372125
399,NCA18,OUT018,2290.247924060547
400,FDD35,OUT046,2025.1959246307133
401,NCK31,OUT035,562.3845688413546
402,FDI40,OUT027,2980.613208189815
403,FDT50,OUT019,316.57553714995174
404,NCT06,OUT046,2655.925404435314
405,FDT31,OUT035,2713.876547142577
406,FDT45,OUT049,1025.4640067028447
407,FDT13,OUT045,2929.442173492809
408,FDO50,OUT045,1271.3648344884748
409,NCU18,OUT010,609.6118142103663
410,NCR54,OUT049,3183.7331328167656
411,NCO18,OUT018,3292.3755758508673
412,FDU09,OUT045,824.1839918588396
413,FDT13,OUT018,3503.812443271825
414,FDE09,OUT046,1935.056860718068
415,NCK53,OUT019,510.8905288925347
416,FDG45,OUT049,3705.995875808926
417,DRH15,OUT035,381.848253111025
418,FDO21,OUT019,2429.1258676952452
419,FDD14,OUT027,4218.9801759623715
420,FDC09,OUT046,1723.79226509724
421,FDH45,OUT027,2108.1310661057473
422,FDV32,OUT046,1048.633221703429
423,FDG12,OUT035,2003.5277095060571
424,FDS32,OUT013,2119.1552698777446
425,NCL55,OUT018,4369.644342449976
426,DRE01,OUT035,3430.9015416373595
427,DRE15,OUT049,1605.8097391515605
428,NCL42,OUT045,3858.4912136115026
429,FDP31,OUT013,697.1086778516822
430,FDN33,OUT018,1882.145738709552
431,FDZ59,OUT046,2660.852665984291
432,FDE45,OUT010,1419.685729945778
433,FDJ07,OUT013,1826.8857384617438
434,FDQ45,OUT018,3659.7091513695855
435,FDM33,OUT027,4803.475659784144
436,FDO15,OUT010,-129.39161659367585
437,FDM46,OUT013,1188.03361840995
438,FDR03,OUT045,3375.0356370141553
439,FDY49,OUT018,3136.403887269213
440,FDQ60,OUT045,1759.7843184680091
441,FDW10,OUT049,2966.803798756663
442,FDO51,OUT049,993.3521723052315
443,FDJ40,OUT018,2172.9147057723167
444,FDS20,OUT018,3275.418028969549
445,FDU45,OUT013,1644.0424758388674
446,FDV02,OUT035,2324.7927004452386
447,FDN09,OUT046,3879.5649220878536
448,NCM55,OUT027,4323.363785053552
449,FDN23,OUT018,2721.787371844442
450,FDY31,OUT010,563.6871575281107
451,FDW03,OUT010,40.21241585804103
452,FDD14,OUT046,2810.7146082389504
453,FDV23,OUT017,1619.6470117490014
454,DRI03,OUT045,2663.497441839979
455,FDN13,OUT035,1183.0008962554562
456,FDF45,OUT027,2413.836947248834
457,FDU46,OUT035,1191.6192334621298
458,FDB57,OUT049,3730.0115557215627
459,FDV12,OUT049,1774.4873466892013
460,FDQ58,OUT013,2387.343657775291
461,NCA18,OUT017,1685.8047145731966
462,FDH52,OUT049,1033.149587492481
463,FDM24,OUT018,2831.4161591506904
464,NCP43,OUT027,4274.911138877715
465,NCO18,OUT019,1656.8382354996702
466,FDM32,OUT017,1533.00043970609
467,NCL07,OUT017,693.0348244384251
468,FDK03,OUT013,3777.8988643968664
469,FDP59,OUT017,1526.4737864150316
470,FDQ24,OUT049,4134.229640456242
471,FDQ16,OUT018,2171.683001725518
472,FDU44,OUT013,2356.237066624699
473,FDH28,OUT010,-1199.5210934679803
474,FDV28,OUT019,-796.6882865324856
475,FDM22,OUT045,686.0169378759356
476,FDR56,OUT046,3102.8145044818925
477,FDV39,OUT049,3516.2407018557774
478,FDU37,OUT019,7.0944131006382065
479,FDQ11,OUT010,2786.850388522441
480,FDX02,OUT045,3331.9643415619685
481,NCS42,OUT018,1902.8129617584352
482,FDY57,OUT027,2854.819607201537
483,FDB21,OUT049,3864.6698388336076
484,FDE28,OUT017,3422.3857288343215
485,FDQ55,OUT017,1691.4426068790485
486,FDA48,OUT049,3575.3430002418017
487,FDZ19,OUT045,2433.8599364576894
488,NCC43,OUT045,3633.6346062464463
489,NCV18,OUT046,1295.1856415392283
490,NCA42,OUT018,3075.875305720541
491,FDY45,OUT046,4172.18473076296
492,NCC30,OUT045,2849.7205839142857
493,FDM57,OUT013,1169.5746074747783
494,FDL09,OUT010,939.3929686752161
495,FDB09,OUT027,3405.05930460739
496,FDT44,OUT035,1498.2883485151276
497,NCT06,OUT027,4035.480725327399
498,FDX26,OUT049,3030.3858246012655
499,FDK32,OUT013,2259.8812866653707
500,DRA12,OUT046,2348.6814183555
501,FDO46,OUT010,1791.6565500754737
502,FDE52,OUT013,1262.2041121697632
503,NCH42,OUT045,3380.5068251086277
504,FDV08,OUT035,506.5747300962553
505,FDB47,OUT018,3736.7322695860867
506,FDC28,OUT010,-21.151732070419598
507,FDD22,OUT046,1787.819865555687
508,FDS07,OUT027,3126.1723310348807
509,DRI13,OUT045,3268.1377344760876
510,FDG32,OUT018,3809.419630762867
511,FDU14,OUT017,3667.942463889244
512,FDD28,OUT019,-223.69162197132167
513,NCP41,OUT017,1637.7846406172125
514,FDS08,OUT049,2966.262032895243
515,FDX47,OUT045,2301.470481613102
516,FDC53,OUT019,502.27348017798874
517,FDQ19,OUT035,3702.906568875558
518,FDL14,OUT045,2259.403970315539
519,FDM33,OUT019,2187.9142936057924
520,FDA51,OUT045,1578.2599570959192
521,FDZ27,OUT018,1354.5392605765398
522,FDT04,OUT046,600.8597429229006
523,DRC13,OUT049,2245.793934317779
524,FDR16,OUT027,4753.006440609894
525,FDQ03,OUT027,5148.572840364557
526,FDE38,OUT035,2375.575949337544
527,DRH23,OUT027,2217.0674253223524
528,FDT11,OUT019,1874.2608912606238
529,FDD09,OUT035,2646.549689537421
530,FDR40,OUT045,-668.8616679462086
531,FDX07,OUT017,2757.4952002787795
532,FDR07,OUT035,1234.655899337473
533,FDA51,OUT017,1420.8008798933186
534,FDT59,OUT019,2678.3139042894513
535,FDF20,OUT017,2963.590976174356
536,FDR13,OUT045,1790.1103073922834
537,FDY26,OUT049,3525.371549096566
538,FDW04,OUT017,1925.89658509824
539,FDK52,OUT017,3390.34914126257
540,FDN60,OUT049,2607.587731663063
541,FDM09,OUT019,1518.5611313456798
542,FDP46,OUT049,1536.6658816530125
543,FDB50,OUT019,-108.57578032910286
544,NCQ29,OUT049,4194.552005191561
545,FDP16,OUT027,5265.147948932308
546,FDX33,OUT018,2933.4891804138765
547,FDP07,OUT010,1684.462968710125
548,FDN22,OUT046,3847.6468943697623
549,FDF39,OUT049,3500.6967875102696
550,FDS21,OUT017,1070.3232243215714
551,NCM42,OUT013,1512.285970025796
552,FDK50,OUT019,1506.6375322328909
553,DRF13,OUT027,3799.8583750982784
554,FDH35,OUT018,3004.196016460102
555,FDP60,OUT018,1989.215963854386
556,DRJ49,OUT027,3622.7485539134204
557,NCT42,OUT019,1176.531947745431
558,FDE38,OUT049,2837.6451372141773
559,FDI04,OUT049,3348.178226018818
560,NCH54,OUT045,2367.3875555843765
561,FDT56,OUT049,1128.3594202945128
562,DRD15,OUT018,4115.011046725189
563,FDV58,OUT013,2997.650492474596
564,FDP21,OUT049,3226.2984645526262
565,FDH05,OUT013,3440.053157362545
566,FDR10,OUT027,3987.8682056264975
567,NCP06,OUT045,2217.614289328464
568,FDF33,OUT049,1982.4579242088166
569,DRK37,OUT013,2599.1787292801973
570,DRH49,OUT045,896.5356243024088
571,FDT58,OUT013,2393.008954280288
572,FDD41,OUT018,2082.8528974612304
573,FDP40,OUT018,2270.32026196972
574,FDM51,OUT027,3146.4965489200995
575,FDO45,OUT010,-357.28120566239784
576,FDW33,OUT010,-178.57910785990043
577,FDY24,OUT045,869.9224641487011
578,FDB10,OUT010,1914.1055240289706
579,FDM40,OUT035,1819.1023074169009
580,NCI06,OUT017,2574.717014383276
581,FDW12,OUT019,1229.5790623664507
582,FDX48,OUT027,3932.137458766979
583,NCW05,OUT027,3008.455954229939
584,FDX27,OUT017,1157.3805133227588
585,DRM37,OUT045,2801.5989561052666
586,FDA38,OUT045,3573.438419833512
587,FDR36,OUT046,673.9673684435375
588,FDZ45,OUT046,3160.8565110267905
589,FDG05,OUT017,2467.9185486237543
590,FDK28,OUT013,3836.9228019286384
591,FDV47,OUT045,1236.814340163547
592,FDN21,OUT045,2355.8412557715556
593,FDP20,OUT027,3384.941206006878
594,FDI35,OUT045,2855.608274201499
595,DRY23,OUT013,491.09826572106704
596,FDA56,OUT017,1995.5399903747762
597,FDB09,OUT013,1748.4776124750906
598,NCO26,OUT027,3234.652728135379
599,FDQ49,OUT018,2999.8244155605466
600,FDI52,OUT027,3255.145797118786
601,FDZ44,OUT027,3302.7175534479074
602,FDZ09,OUT018,2965.7943265212266
603,FDY03,OUT049,2005.4992051919287
604,NCG42,OUT017,1925.1048915580811
605,DRI13,OUT027,4825.318141546124
606,FDQ32,OUT013,1809.9195863562313
607,FDW16,OUT035,1230.3950520798967
608,FDU27,OUT046,677.8727746583576
609,FDR28,OUT010,849.7736645825432
610,FDQ49,OUT010,830.4055600906775
611,FDS37,OUT046,1893.8117695983228
612,FDW26,OUT018,3924.0271923044934
613,FDX12,OUT018,4393.256332592251
614,NCP06,OUT013,2148.0038480492776
615,FDW45,OUT010,654.3679969705191
616,NCN30,OUT049,1697.3657649550626
617,FDN24,OUT049,973.0882701928412
618,NCL41,OUT027,1955.6154048322835
619,FDR02,OUT019,621.3659981853566
620,FDD09,OUT010,1539.87799674385
621,FDS33,OUT010,478.31794236338294
622,FDU22,OUT045,1867.4256839993325
623,FDI53,OUT013,2286.752226001656
624,DRH01,OUT049,2892.202027023115
625,FDX32,OUT013,2016.8405390425683
626,NCP30,OUT018,1050.182969988649
627,FDB60,OUT045,3006.4750021064847
628,FDB14,OUT049,1620.3625038539014
629,NCP02,OUT035,687.6485152551086
630,FDJ10,OUT017,1930.4346469600293
631,FDG34,OUT046,1517.2753319319038
632,NCB18,OUT017,1269.688325208117
633,FDM16,OUT049,1397.9572904588745
634,FDW25,OUT018,1807.3164822005567
635,FDB35,OUT010,34.59403713849076
636,DRN11,OUT013,1913.4053529343419
637,FDF41,OUT019,2601.4656969702646
638,FDH16,OUT045,1276.7157333934374
639,NCQ50,OUT018,3793.4418172640817
640,DRH23,OUT018,1247.0546398286253
641,DRJ37,OUT013,2137.588421857715
642,DRJ24,OUT027,4283.326205656122
643,FDY16,OUT035,2565.991270689683
644,FDQ27,OUT045,1634.0211168259357
645,FDZ33,OUT045,2148.7198116195
646,FDF29,OUT045,2015.7296367494027
647,FDA08,OUT049,2811.830059752993
648,FDG31,OUT046,805.8827262717851
649,FDE34,OUT019,2219.7104828660736
650,NCR30,OUT027,2586.7558696448
651,FDV33,OUT035,3799.1631574715757
652,DRZ24,OUT018,2436.615151323253
653,NCL54,OUT035,2346.699871606116
654,FDR12,OUT049,2988.382756239805
655,NCC54,OUT046,3792.515852619056
656,DRN59,OUT013,461.3166938712015
657,FDX50,OUT019,547.8886774064059
658,FDV31,OUT027,4140.921532705237
659,NCA29,OUT027,4220.351512152432
660,FDW60,OUT049,3016.2607028088632
661,FDX08,OUT017,2931.4642574877926
662,DRD49,OUT013,3355.3496706244623
663,FDD33,OUT046,3561.178386833237
664,FDW35,OUT013,514.3644507681831
665,FDJ36,OUT017,1300.3113610676207
666,FDV51,OUT035,2339.98375808208
667,FDW36,OUT046,1715.6657706490091
668,FDH35,OUT046,2612.817614357509
669,NCS30,OUT027,3416.6570608678494
670,FDN49,OUT017,445.0876374629092
671,FDL08,OUT018,4287.60496659926
672,FDI09,OUT013,3435.335843024165
673,FDP19,OUT018,2301.4450170223095
674,FDU21,OUT010,-889.5394095519067
675,NCP41,OUT045,1780.5020228366695
